"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"697","u","Affiliation","Affiliation","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"697","v","Form subdivision","Form subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"697","x","General subdivision","General subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"697","y","Chronological subdivision","Chronological subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"697","z","Geographic subdivision","Geographic subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","%","% (RLIN)","% (RLIN)","0","0","0","","6","","","","0","-6","ILL","","","","9999","0"
"698","2","Source of heading or term","Source of heading or term","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","3","Materials specified","Materials specified","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","4","Relator code","Relator code","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","6","Linkage","Linkage","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","8","Field link and sequence number","Field link and sequence number","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","9","9 (RLIN)","9 (RLIN)","0","0","0","","6","","","","0","-5","ILL","","","","9999","0"
"698","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","0","","6","","MEETI_NAME","","","-6","ILL","","","","9999","0"
"698","b","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","1","0","0","","-1","","","","","-6","ILL","","","","9999","0"
"698","c","Location of meeting","Location of meeting","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","d","Date of meeting","Date of meeting","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","e","Subordinate unit","Subordinate unit","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","f","Date of a work","Date of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","g","Miscellaneous information","Miscellaneous information","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","h","Medium","Medium","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","k","Form subheading","Form subheading","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","l","Language of a work","Language of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","s","Version","Version","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","t","Title of a work","Title of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","u","Affiliation","Affiliation","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","v","Form subdivision","Form subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","x","General subdivision","General subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","y","Chronological subdivision","Chronological subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"698","z","Geographic subdivision","Geographic subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","%","% (RLIN)","% (RLIN)","0","0","0","","6","","","","0","-6","ILL","","","","9999","0"
"699","2","Source of heading or term","Source of heading or term","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","3","Materials specified","Materials specified","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","6","Linkage","Linkage","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","8","Field link and sequence number","Field link and sequence number","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","9","9 (RLIN)","9 (RLIN)","0","0","0","","6","","","","0","-5","ILL","","","","9999","0"
"699","a","Uniform title","Uniform title","0","0","0","","6","","UNIF_TITLE","","","-6","ILL","","","","9999","0"
"699","d","Date of treaty signing","Date of treaty signing","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","f","Date of a work","Date of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","g","Miscellaneous information","Miscellaneous information","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","h","Medium","Medium","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","k","Form subheading","Form subheading","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","l","Language of a work","Language of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","m","Medium of performance for music","Medium of performance for music","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","o","Arranged statement for music","Arranged statement for music","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","r","Key for music","Key for music","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","s","Version","Version","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","t","Title of a work","Title of a work","0","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","v","Form subdivision","Form subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","x","General subdivision","General subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"699","y","Chronological subdivision","Chronological subdivision","1","0","0","","6","","","","","-6","ILL","","","","9999","0"
"700","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","4","Relator code","Relator code","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"700","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","9","9 (RLIN)","9 (RLIN)","0","0","0","","7","","","","0","-5","ILL","","","","9999","0"
"700","a","Personal name","Personal name","0","0","0","","7","","PERSO_NAME","","","0","ILL","","","","9999","0"
"700","b","Numeration","Numeration","0","0","0","","7","","","","","-1","ILL","","","","9999","0"
"700","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","0","","7","","","","","-1","ILL","","","","9999","0"
"700","d","Dates associated with a name","Dates associated with a name","0","0","0","","7","","","","","0","ILL","","","","9999","0"
"700","e","Relator term","Relator term","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"700","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","g","Miscellaneous information","Miscellaneous information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","i","Relationship Information","Relationship Information","0","0","0","","7","","","","0","0","ILL","","","","9999","0"
"700","j","Attribution qualifier","Attribution qualifier","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","l","Language of a work","Language of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","m","Medium of performance for music","Medium of performance for music","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","o","Arranged statement for music","Arranged statement for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","q","Fuller form of name","Fuller form of name","0","0","0","","7","","","","","0","ILL","","","","9999","0"
"700","r","Key for music","Key for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","u","Affiliation","Affiliation","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"700","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","a","Personal name","Personal name","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","b","Numeration","Numeration","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","d","Dates associated with a name","Dates associated with a name","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","e","Relator term","Relator term","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","g","Miscellaneous information","Miscellaneous information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","l","Language of a work","Language of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","m","Medium of performance for music","Medium of performance for music","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","o","Arranged statement for music","Arranged statement for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","r","Key for music","Key for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"705","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","4","Relator code","Relator code","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"710","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","9","9 (RLIN)","9 (RLIN)","0","0","0","","7","","","","0","-5","ILL","","","","9999","0"
"710","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","0","","7","","CORPO_NAME","","","0","ILL","","","","9999","0"
"710","b","Subordinate unit","Subordinate unit","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"710","c","Location of meeting","Location of meeting","1","0","0","","7","","","","","-1","ILL","","","","9999","0"
"710","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","0","","7","","","","","-1","ILL","","","","9999","0"
"710","e","Relator term","Relator term","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"710","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","g","Miscellaneous information","Miscellaneous information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","l","Language of a work","Language of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","m","Medium of performance for music","Medium of performance for music","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","o","Arranged statement for music","Arranged statement for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","r","Key for music","Key for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","u","Affiliation","Affiliation","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"710","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","4","Relator code","Relator code","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"711","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","9","9 (RLIN)","9 (RLIN)","0","0","0","","7","","","","0","-5","ILL","","","","9999","0"
"711","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","0","","7","","MEETI_NAME","","","0","ILL","","","","9999","0"
"711","b","Number (BK CF MP MU SE VM MX) [OBSOLETE]","Number (BK CF MP MU SE VM MX) [OBSOLETE]","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","c","Location of meeting","Location of meeting","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"711","d","Date of meeting","Date of meeting","0","0","0","","7","","","","","0","ILL","","","","9999","0"
"711","e","Subordinate unit","Subordinate unit","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"711","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","g","Miscellaneous information","Miscellaneous information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","j","Relator term","Relator term","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"711","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","l","Language of a work","Language of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","u","Affiliation","Affiliation","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"711","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","%","% (RLIN)","% (RLIN)","0","0","0","","7","","","","0","-6","ILL","","","","9999","0"
"715","a","Corporate name or jurisdiction name","Corporate name or jurisdiction name","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","b","Subordinate unit","Subordinate unit","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","e","Relator term","Relator term","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","g","Miscellaneous information","Miscellaneous information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","l","Language of a work","Language of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","n","Number of part/section/meeting","Number of part/section/meeting","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","r","Key for music","Key for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"715","u","Nonprinting information","Nonprinting information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"720","4","Relator code","Relator code","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"720","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"720","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"720","a","Name","Name","0","0","0","","7","","","","","0","ILL","","","","9999","0"
"720","e","Relator term","Relator term","1","0","0","","7","","","","","0","ILL","","","","9999","0"
"730","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","9","9 (RLIN)","9 (RLIN)","0","0","0","","7","","","","0","-5","ILL","","","","9999","0"
"730","a","Uniform title","Uniform title","0","0","0","","7","","UNIF_TITLE","","","-1","ILL","","","","9999","0"
"730","d","Date of treaty signing","Date of treaty signing","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","f","Date of a work","Date of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","g","Miscellaneous information","Miscellaneous information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","k","Form subheading","Form subheading","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","l","Language of a work","Language of a work","0","0","0","","7","","","","","-1","ILL","","","","9999","0"
"730","m","Medium of performance for music","Medium of performance for music","1","0","0","","7","","","","","-1","ILL","","","","9999","0"
"730","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","o","Arranged statement for music","Arranged statement for music","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","r","Key for music","Key for music","0","0","0","","7","","","","","-1","ILL","","","","9999","0"
"730","s","Version","Version","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","t","Title of a work","Title of a work","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"730","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","5","Institution to which field applies","Institution to which field applies","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","a","Uncontrolled related/analytical title","Uncontrolled related/analytical title","0","0","0","","7","","","","","-1","ILL","","","","9999","0"
"740","h","Medium","Medium","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","n","Number of part/section of a work","Number of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"740","p","Name of part/section of a work","Name of part/section of a work","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","2","Source of heading or term","Source of heading or term","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","a","Country or larger entity","Country or larger entity","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","b","First-order political jurisdiction","First-order political jurisdiction","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","c","Intermediate political jurisdiction","Intermediate political jurisdiction","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","d","City","City","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","f","City subsection","City subsection","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","g","Other nonjurisdictional geographic region and feature","Other nonjurisdictional geographic region and feature","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"752","h","Extraterrestrial area","Extraterrestrial area","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"753","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"753","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"753","a","Make and model of machine","Make and model of machine","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"753","b","Programming language","Programming language","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"753","c","Operating system","Operating system","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","2","Source of taxonomic identification","Source of taxonomic identification","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","a","Taxonomic name","Taxonomic name","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","c","Taxonomic category","Taxonomic category","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","d","Common or alternative name","Common or alternative name","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","x","Non-public note","Non-public note","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"754","z","Public note","Public note","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","2","Source of taxonomic identification","Source of taxonomic identification","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","3","Materials specified","Materials specified","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","a","Access term","Access term","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","x","General subdivision","General subdivision","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","y","Chronological subdivision","Chronological subdivision","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"755","z","Geographic subdivision","Geographic subdivision","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","b","Edition","Edition","0","0","0","","7","","","","","0","ILL","","","","9999","0"
"760","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","g","Relationship information","Relationship information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","h","Physical description","Physical description","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","i","Display text","Display text","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","n","Note","Note","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","t","Title","Title","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","w","Record control number","Record control number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"760","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","b","Edition","Edition","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","g","Relationship information","Relationship information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","h","Physical description","Physical description","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","i","Display text","Display text","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","n","Note","Note","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","q","Parallel title (BK SE) [OBSOLETE]","Parallel title (BK SE) [OBSOLETE]","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","t","Title","Title","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","w","Record control number","Record control number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","x","International Standard Serial Number","International Standard Serial Number","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"762","y","CODEN designation","CODEN designation","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","6","Linkage","Linkage","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","7","Control subfield","Control subfield","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","8","Field link and sequence number","Field link and sequence number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","a","Main entry heading","Main entry heading","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","b","Edition","Edition","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","c","Qualifying information","Qualifying information","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","d","Place, publisher, and date of publication","Place, publisher, and date of publication","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","g","Relationship information","Relationship information","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","h","Physical description","Physical description","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","i","Display text","Display text","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","k","Series data for related item","Series data for related item","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","m","Material-specific details","Material-specific details","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","n","Note","Note","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","o","Other item identifier","Other item identifier","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","q","Parallel title (BK SE)  [OBSOLETE]","Parallel title (BK SE)  [OBSOLETE]","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","r","Report number","Report number","1","0","0","","7","","","","","-6","ILL","","","","9999","0"
"765","s","Uniform title","Uniform title","0","0","0","","7","","","","","-6","ILL","","","","9999","0"
