"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"545","BIOGRAPHICAL OR HISTORICAL DATA","BIOGRAPHICAL OR HISTORICAL DATA","1","0","0","","","","ILL"
"546","LANGUAGE NOTE","LANGUAGE NOTE","1","0","0","","","","ILL"
"547","FORMER TITLE COMPLEXITY NOTE","FORMER TITLE COMPLEXITY NOTE","1","0","0","","","","ILL"
"550","ISSUING BODY NOTE","ISSUING BODY NOTE","1","0","0","","","","ILL"
"552","ENTITY AND ATTRIBUTE INFORMATION NOTE","ENTITY AND ATTRIBUTE INFORMATION NOTE","1","0","0","","","","ILL"
"555","CUMULATIVE INDEX/FINDING AIDS NOTE","CUMULATIVE INDEX/FINDING AIDS NOTE","1","0","0","","","","ILL"
"556","INFORMATION ABOUT DOCUMENTATION NOTE","INFORMATION ABOUT DOCUMENTATION NOTE","1","0","0","","","","ILL"
"561","OWNERSHIP AND CUSTODIAL HISTORY","OWNERSHIP AND CUSTODIAL HISTORY","1","0","0","","","","ILL"
"562","COPY AND VERSION IDENTIFICATION NOTE","COPY AND VERSION IDENTIFICATION NOTE","1","0","0","","","","ILL"
"563","BINDING INFORMATION","BINDING INFORMATION","1","0","0","","","","ILL"
"565","CASE FILE CHARACTERISTICS NOTE","CASE FILE CHARACTERISTICS NOTE","1","0","0","","","","ILL"
"567","METHODOLOGY NOTE","METHODOLOGY NOTE","1","0","0","","","","ILL"
"570","EDITOR NOTE (SE) [OBSOLETE]","EDITOR NOTE (SE) [OBSOLETE]","1","0","0","","","","ILL"
"580","LINKING ENTRY COMPLEXITY NOTE","LINKING ENTRY COMPLEXITY NOTE","1","0","0","","","","ILL"
"581","PUBLICATIONS ABOUT DESCRIBED MATERIALS NOTE","PUBLICATIONS ABOUT DESCRIBED MATERIALS NOTE","1","0","0","","","","ILL"
"582","RELATED COMPUTER FILES NOTE (CF) [OBSOLETE]","RELATED COMPUTER FILES NOTE (CF) [OBSOLETE]","1","0","0","","","","ILL"
"583","ACTION NOTE","ACTION NOTE","1","0","0","","","","ILL"
"584","ACCUMULATION AND FREQUENCY OF USE NOTE","ACCUMULATION AND FREQUENCY OF USE NOTE","1","0","0","","","","ILL"
"585","EXHIBITIONS NOTE","EXHIBITIONS NOTE","1","0","0","","","","ILL"
"586","AWARDS NOTE","AWARDS NOTE","1","0","0","","","","ILL"
"590","LOCAL NOTE (RLIN)","LOCAL NOTE (RLIN)","1","0","0","","","","ILL"
"600","SUBJECT ADDED ENTRY--PERSONAL NAME","SUBJECT ADDED ENTRY--PERSONAL NAME","1","0","0","","","","ILL"
"610","SUBJECT ADDED ENTRY--CORPORATE NAME","SUBJECT ADDED ENTRY--CORPORATE NAME","1","0","0","","","","ILL"
"611","SUBJECT ADDED ENTRY--MEETING NAME","SUBJECT ADDED ENTRY--MEETING NAME","1","0","0","","","","ILL"
"630","SUBJECT ADDED ENTRY--UNIFORM TITLE","SUBJECT ADDED ENTRY--UNIFORM TITLE","1","0","0","","","","ILL"
"648","SUBJECT ADDED ENTRY--CHRONOLOGICAL TERM","SUBJECT ADDED ENTRY--CHRONOLOGICAL TERM","1","0","0","","","","ILL"
"650","SUBJECT ADDED ENTRY--TOPICAL TERM","SUBJECT ADDED ENTRY--TOPICAL TERM","1","0","0","","","","ILL"
"651","SUBJECT ADDED ENTRY--GEOGRAPHIC NAME","SUBJECT ADDED ENTRY--GEOGRAPHIC NAME","1","0","0","","","","ILL"
"652","SUBJECT ADDED ENTRY--REVERSE GEOGRAPHIC (BK MP SE) [OBSOLETE]","SUBJECT ADDED ENTRY--REVERSE GEOGRAPHIC (BK MP SE) [OBSOLETE]","1","0","0","","","","ILL"
"653","INDEX TERM--UNCONTROLLED","INDEX TERM--UNCONTROLLED","1","0","0","","","","ILL"
"654","SUBJECT ADDED ENTRY--FACETED TOPICAL TERM","SUBJECT ADDED ENTRY--FACETED TOPICAL TERM","1","0","0","","","","ILL"
"655","INDEX TERM--GENRE/FORM","INDEX TERM--GENRE/FORM","1","0","0","","","","ILL"
"656","INDEX TERM--OCCUPATION","INDEX TERM--OCCUPATION","1","0","0","","","","ILL"
"657","INDEX TERM--FUNCTION","INDEX TERM--FUNCTION","1","0","0","","","","ILL"
"658","INDEX TERM--CURRICULUM OBJECTIVE","INDEX TERM--CURRICULUM OBJECTIVE","1","0","0","","","","ILL"
